RA_ICRS|DE_ICRS|SDSS12|SDSS-ID|objID|Sp-ID|SpObjID|umag|e_umag|gmag|e_gmag|rmag|e_rmag|imag|e_imag|zmag|e_zmag|zsp|e_zsp
003.124572|-00.977832|J001229.89-005840.1|2728-301-1-0434-0384|1237657189832851840|4218-55479-0325|4749135234305028096|23.138| 0.649|21.237| 0.062|19.727| 0.025|19.168| 0.023|18.808| 0.058| 0.28589| 0.00005



012.546586|+00.675718|J005011.18+004032.5|4128-301-5-0207-0101|1237663204919672933|3590-55201-0870|4042219896603078656|21.035| 0.138|19.186| 0.015|17.965| 0.008|17.473| 0.009|17.139| 0.020| 0.19063| 0.00003




000.669856|-01.165815|J000240.76-010956.9|4145-301-1-0114-0291|1237663275780538659|4216-55477-0128|4746829283510120448|22.576| 0.419|20.246| 0.030|18.791| 0.013|18.260| 0.012|17.931| 0.031| 0.25095| 0.00004








017.566412|+00.471981|J011015.93+002819.1|4263-301-5-0233-0264|1237663784741961992|4226-55475-0882|4758295540486828032|21.582| 0.150|20.912| 0.043|20.148| 0.032|19.728| 0.033|19.456| 0.082| 0.26826| 0.00003





041.989894|+00.589275|J024757.57+003521.3|4136-301-5-0098-0602|1237663239272268378|4241-55450-0684|4775129612844462080|21.539| 0.229|20.805| 0.059|20.246| 0.054|19.920| 0.064|19.803| 0.188| 0.18290| 0.00002





031.909831|-00.324045|J020738.35-001926.5|4263-301-3-0329-0074|1237663783674511434|1506-53003-0155|1695647916162574336|20.079| 0.053|19.018| 0.012|18.421| 0.010|18.062| 0.010|17.922| 0.030| 0.17524| 0.00001


018.016074|-00.024654|J011203.85-000128.7|4858-301-3-0475-0443|1237666339189621179|3736-55214-0070|4206381380894650368|22.829| 0.436|21.748| 0.071|20.979| 0.057|20.421| 0.050|20.299| 0.171| 0.22631| 0.00005







006.807331|+01.120860|J002713.75+010715.0|7674-301-4-0075-0468|1237678434328183252|4220-55447-0704|4751491212308574208|22.174| 0.294|21.467| 0.069|20.596| 0.047|20.320| 0.055|19.826| 0.145| 0.21336| 0.00004

031.016711|-00.366322|J020404.01-002158.7|4263-301-3-0323-0252|1237663783674118396|4234-55478-0104|4767088884780298240|21.209| 0.149|20.085| 0.028|19.037| 0.017|18.629| 0.017|18.328| 0.046| 0.27767| 0.00004




